duration;src_bytes;dst_bytes;missed_bytes;src_ip_bytes;dst_ip_bytes;dns_qclass;dns_qtype;dns_rcode;http_request_body_len;http_response_body_len;http_status_code;icmp;tcp;udp;dce_rpc;dns;ftp;gssapi;http;smb;"smb;gssapi";ssl;OTH;REJ;RSTO;RSTOS0;RSTR;RSTRH;S0;S1;S2;S3;SF;SH;SHR;label
1.4650342052073181e-05;0.0;0.0;0.0;6.745749334700472e-06;4.629869536179554e-07;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8
6.592472672827822e-05;0.0;0.0;0.0;1.5944498427473843e-05;6.944804304269331e-07;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1
3.602556274998781e-08;4.317816895246693e-08;4.903096165519667e-07;0.0;6.68442434074865e-05;2.5915694728765054e-05;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;6
1.0885248361283418e-05;0.0;0.0;0.0;1.839749818554674e-05;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;9
1.047724736789494e-07;1.9018955371919957e-08;2.2995239963354356e-08;0.0;1.9930623034342302e-05;1.6899023807055372e-06;3.0516646830846227e-05;0.00392156862745098;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;3
7.335634372178135e-06;6.373920178697499e-08;3.112788983039401e-06;0.0;8.708149141158791e-05;0.00014832944526535247;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;3
2.249934871337692e-06;0.0;0.0;0.0;0.0007358999274218697;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;5
2.14833829321729e-06;0.0;0.0;0.0;0.0007358999274218697;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;5
2.5749348501623816e-08;3.9322975295996665e-08;1.1829773447814518e-07;0.0;6.454455613429316e-05;8.461086577368136e-06;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;6
2.0755600266466707e-08;4.369219477332963e-08;7.506668334703899e-07;0.0;7.512311759098253e-05;3.831217041188581e-05;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;6
